Timestamp,Action
2025-08-16 18:12:47,IdleGhost application started
2025-08-16 18:12:49,Simulating Key Press
2025-08-16 18:12:49,Simulation started
2025-08-16 18:12:54,Simulating Mouse Move
2025-08-16 18:12:57,Ctrl+C pressed. Time to vanish...
2025-08-16 18:12:57,Simulating Key Press
2025-08-16 18:13:00,Simulating Key Press
2025-08-16 18:13:03,Simulation stopped
2025-08-16 18:13:03,Application closed gracefully
2025-08-16 18:13:05,Simulation stopped
2025-08-16 18:13:05,Application closed gracefully
2025-08-16 18:56:50,IdleGhost application started
2025-08-16 18:56:50,Simulation started
2025-08-16 18:56:50,Simulating Mouse Move
2025-08-16 18:56:55,Simulating Mouse Move
2025-08-16 18:56:58,Ctrl+C pressed. Time to vanish...
2025-08-16 18:56:58,Simulating Mouse Move
2025-08-16 18:57:01,Simulation stopped
2025-08-16 18:57:01,Application closed gracefully
